id,name,created_at,updated_at,surname,completename,cedeusname,proyecto
115,Sofía,2019-11-22 05:22:25.69335,2019-11-22 05:22:25.69335,Hernández,Sofía Hernández,"Hernández, S.",0
116,Bryan,2019-11-22 05:23:33.789279,2019-11-22 05:23:33.789279,Carrasco,Bryan Carrasco,"Carrasco, B.",0
117,Martín,2019-11-22 05:23:57.454514,2019-11-22 05:23:57.454514,Álvarez,Martín Álvarez,"Álvarez, M.",0
118,Roxana,2019-11-22 05:24:23.978175,2019-11-22 05:24:23.978175,Ríos,Roxana Ríos,"Ríos, R.",0
119,Magdalena,2019-11-22 05:24:41.208705,2019-11-22 05:24:41.208705,Rivera,Magdalena Rivera,"Rivera, M.",0
120,Paola,2019-11-22 05:26:01.920639,2019-11-22 05:26:01.920639,Jirón,Paola Jirón,"Jirón, P.",0
121,Walter,2019-11-22 05:26:37.324322,2019-11-22 05:26:37.324322,Imilan,Walter Imilan,"Imilan, W.",0
122,Ariel,2019-11-22 05:26:56.194504,2019-11-22 05:26:56.194504,López,Ariel López,"López, A.",0
123,Lautaro,2019-11-22 05:27:07.221634,2019-11-22 05:27:07.221634,Ojeda,Lautaro Ojeda,"Ojeda, L.",0
124,Victoria,2019-11-22 05:27:23.930477,2019-11-22 05:27:23.930477,De la Barra,Victoria De la Barra,"De la Barra, V.",0
125,Nicolás,2019-11-22 19:22:39.375313,2019-11-22 19:22:39.375313,Badiola,Nicolás Badiola,"Badiola, N.",0
126,Janus,2019-11-26 15:19:55.400317,2019-11-26 15:19:55.400317,Leonhardt,Janus Leonhardt,"Leonhardt, J.",0
127,Jim,2019-11-27 03:49:31.516481,2019-11-27 03:49:31.516481,Walker,Jim Walker,"Walker, J.",0
128,Nicolás,2019-11-27 04:33:33.513019,2019-11-27 04:33:33.513019,Esperguiel,Nicolás Esperguiel,"Esperguiel, N.",0
129,Owen,2019-11-27 04:36:44.458832,2019-11-27 04:36:44.458832,Bull,Owen Bull,"Bull, O.",0
131,Francisco,2019-12-02 18:34:10.919177,2019-12-02 18:34:10.919177,Garrido-Valenzuela,Francisco Garrido-Valenzuela,"Garrido-Valenzuela, F.",0
132,J. B.,2019-12-02 18:41:05.479603,2019-12-02 18:41:05.479603, Ingvardson,J. B.  Ingvardson," Ingvardson, J.",0
133,M,2019-12-02 18:41:22.217387,2019-12-02 18:41:22.217387,Thorhauge,M Thorhauge,"Thorhauge, M.",0
134,S,2019-12-02 18:41:33.122867,2019-12-02 18:41:33.122867,Kaplan,S Kaplan,"Kaplan, S.",0
135,O. A,2019-12-02 18:41:59.404374,2019-12-02 18:41:59.404374,Nielsen,O. A Nielsen,"Nielsen, O.",0
136,Mitsuyoshi,2019-12-02 18:44:34.334112,2019-12-02 18:44:34.334112,Fukushi,Mitsuyoshi Fukushi,"Fukushi, M.",0
137,Cristian,2019-12-02 23:36:19.802985,2019-12-02 23:36:19.802985,Fuentes,Cristian Fuentes,"Fuentes, C.",0
138,Daniel,2019-12-02 23:36:35.798273,2019-12-02 23:36:35.798273,Flores,Daniel Flores,"Flores, D.",0
139,James,2019-12-03 00:40:13.79307,2019-12-03 00:40:13.79307,Walker,James Walker,"Walker, J.",0
140,Grace,2019-12-05 04:10:32.488489,2019-12-05 04:10:32.488489,Mallea,Grace Mallea,"Mallea, G.",0
10,Carolina,2019-09-25 13:01:37.099151,2019-12-05 04:11:12.083531,Rojas,Carolina Rojas,"Rojas, C.",3
141,Fernando,2019-12-05 04:23:45.118843,2019-12-05 04:23:45.118843,Meneses,Fernando Meneses,"Meneses, F.",0
142,Michael,2019-12-05 04:24:06.76152,2019-12-05 04:24:06.76152,Widener,Michael Widener,"Widener, M.",0
130,Sebastián,2019-11-27 04:45:26.92531,2019-12-05 13:21:37.29226,Astroza,Sebastián Astroza,"Astroza, S.",3
143,Karen,2019-12-16 13:42:59.858707,2019-12-16 13:42:59.858707,Lucas,Karen Lucas,"Lucas, K.",0
144,Gislaine,2019-12-16 14:07:36.342943,2019-12-16 14:07:36.342943,Granfeldt,Gislaine Granfeldt,"Granfeldt, G.",0
145,D,2019-12-16 14:07:53.866301,2019-12-16 14:07:53.866301,Zapata,D Zapata,"Zapata, D.",0
146,P,2019-12-16 14:08:05.377586,2019-12-16 14:08:05.377586,Allende,P Allende,"Allende, P.",0
147,C,2019-12-16 14:08:20.97826,2019-12-16 14:08:20.97826,Márquez,C Márquez,"Márquez, C.",0
148,B,2019-12-16 14:08:36.573281,2019-12-16 14:08:36.573281,Cid - Aguayo,B Cid - Aguayo,"Cid - Aguayo, B.",0
149,M,2019-12-16 14:08:50.543353,2019-12-16 14:08:50.543353,Rebolledo,M Rebolledo,"Rebolledo, M.",0
150,Sebastián,2019-12-30 18:59:21.761651,2019-12-30 18:59:21.761651,Díaz,Sebastián Díaz,"Díaz, S.",0
151,Marie Geraldine,2020-01-10 13:19:46.305903,2020-01-10 13:19:46.305903,Herrmann-Lunecke,Marie Geraldine Herrmann-Lunecke,"Herrmann-Lunecke, M.",0
152,Otros,2020-01-15 14:55:26.684869,2020-01-15 14:55:26.684869,"",Otros ,", O.",0
153,Luis,2020-01-24 13:14:09.537672,2020-01-24 13:14:09.537672,Fuentes,Luis Fuentes,"Fuentes, L.",4
